идентификатор ZINC	название	SMILES формула	мол. вес, г/моль	LogP	брутто-формула	число колец	число тяжелых атомов	число гетероатомов	pH	заряд	число доноров H-связи	число акцепторов H-связи	площадь полярной поверхности, кв. А	число вращающихся связей
ZINC000255984289	ZINC000255984289	C[C@H](C1=Cc2ccccc2[S@@]1=O)N(O)C(N)=O	252.295	1.307	C11H12N2O3S	2	17	6	Reference	0	2	3	83	2
ZINC000255984290	ZINC000255984290	C[C@H](C1=Cc2ccccc2[S@]1=O)N(O)C(N)=O	252.295	1.307	C11H12N2O3S	2	17	6	Reference	0	2	3	83	2
ZINC000255984291	ZINC000255984291	C[C@@H](C1=Cc2ccccc2[S@@]1=O)N(O)C(N)=O	252.295	1.307	C11H12N2O3S	2	17	6	Reference	0	2	3	83	2
ZINC000255985413	ZINC000255985413	CC[N@+]1([O-])C=C(C(=O)O)C(=O)c2cc(F)c(N3CCN(C)CC3)cc21	349.362	1.567	C17H20FN3O4	3	25	8	Reference	-1	0	6	86	3
ZINC000255985414	ZINC000255985414	CC[N@@+]1([O-])C=C(C(=O)O)C(=O)c2cc(F)c(N3CCN(C)CC3)cc21	349.362	1.567	C17H20FN3O4	3	25	8	Reference	-1	0	6	86	3
ZINC000256007008	ZINC000256007008	C[C@@H]1O[C@@H](Cc2ccccc2)O[C@@H]1C	192.258	2.379	C12H16O2	2	14	2	Reference	0	0	2	18	2
ZINC000256009345	ZINC000256009345	CN1C(=O)NC(=O)[C@](C)([C@]23CCCC[C@H]2O3)C1=O	252.27	0.412	C12H16N2O4	3	18	6	Reference	0	1	4	79	1
ZINC000256009346	ZINC000256009346	CN1C(=O)NC(=O)[C@](C)([C@@]23CCCC[C@H]2O3)C1=O	252.27	0.412	C12H16N2O4	3	18	6						
ZINC000256015222	ZINC000256015222	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](N)CSSC[C@H](C(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H]([C@H](C)O)NC1=O	980.181	-3.493	C42H65N11O12S2	3	67	25						
ZINC000256015223	ZINC000256015223	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](N)CSSC[C@H](C(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]([C@H](C)O)NC1=O	980.181	-3.493	C42H65N11O12S2	3	67	25						
ZINC000256015224	ZINC000256015224	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](N)CSSC[C@H](C(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H]([C@@H](C)O)NC1=O	980.181	-3.493	C42H65N11O12S2	3	67	25						
ZINC000256015225	ZINC000256015225	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](N)CSSC[C@H](C(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]([C@@H](C)O)NC1=O	980.181	-3.493	C42H65N11O12S2	3	67	25						
ZINC000256057132	ZINC000256057132	O=BOO	59.817	-0.559	HBO3	0	4	4						
ZINC000256066513	ZINC000256066513	O[C@@H]1[C@H](O)[C@@]2(O)CC[C@@H](N2)[C@H]1O	175.184	-2.477	C7H13NO4	2	12	5						
ZINC000256072841	ZINC000256072841	CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C	484.967	4.051	C25H31ClF2O5	4	33	8						
ZINC000256072844	ZINC000256072844	CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@H](O)C[C@@]21C	484.967	4.051	C25H31ClF2O5	4	33	8						
ZINC000256072846	ZINC000256072846	CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@H](O)C[C@]21C	484.967	4.051	C25H31ClF2O5	4	33	8						
ZINC000256079353	ZINC000256079353	C[C@]12CC[C@H](O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@@H](O)[C@H]3O)C[C@@H]1CC[C@H]1[C@@H]2[C@@H]2C[C@@]3([C@@H](C(=O)CO)CC[C@@H]13)[C@H](O)O2	540.606	-0.209	C27H40O11	6	38	11	Reference	-1	5	11	186	5
ZINC000256079354	ZINC000256079354	C[C@]12CC[C@H](O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@@H](O)[C@H]3O)C[C@@H]1CC[C@@H]1[C@@H]3CC[C@H](C(=O)CO)[C@@]34C[C@H](O[C@@H]4O)[C@H]12	540.606	-0.209	C27H40O11	6	38	11	Reference	-1	5	11	186	5
ZINC000256079355	ZINC000256079355	C[C@]12CC[C@H](O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@@H](O)[C@H]3O)C[C@@H]1CC[C@H]1[C@@H]2[C@@H]2C[C@]3([C@@H](O)O2)[C@@H](C(=O)CO)CC[C@@H]13	540.606	-0.209	C27H40O11	6	38	11	Reference	-1	5	11	186	5
ZINC000256079356	ZINC000256079356	C[C@]12CC[C@H](O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@@H](O)[C@H]3O)C[C@@H]1CC[C@@H]1[C@@H]3CC[C@H](C(=O)CO)[C@@]34C[C@H](O[C@H]4O)[C@H]12	540.606	-0.209	C27H40O11	6	38	11	Reference	-1	5	11	186	5
ZINC000256090847	ZINC000256090847	O=C(O)CCC/C=C\C[C@@H]1[C@H](O)C[C@H](O)[C@@H]1/C=C/C(F)(F)COc1ccccc1	410.457	3.816	C22H28F2O5	2	29	7	Reference	-1	2	5	89	11
ZINC000256097213	ZINC000256097213	C[C@H](O)COC[C@@H]1O[C@H](O[C@@H]2[C@H](COC[C@H](C)O)O[C@@H](OC[C@H](C)O)[C@H](OC[C@H](C)O)[C@@H]2OC[C@H](C)O)[C@@H](OC[C@H](C)O)[C@H](OC[C@H](C)O)[C@H]1OC[C@H](C)O	806.937	-2.156	C36H70O19	2	55	19						
ZINC000256097218	ZINC000256097218	C[C@H](O)COC[C@@H]1O[C@@H](OC[C@H](C)O)[C@H](OC[C@H](C)O)[C@H](OC[C@H](C)O)[C@@H]1O[C@H]1O[C@@H](COC[C@@H](C)O)[C@H](OC[C@@H](C)O)[C@@H](OC[C@H](C)O)[C@@H]1OC[C@H](C)O	806.937	-2.156	C36H70O19	2	55	19						
ZINC000256097222	ZINC000256097222	C[C@H](O)COC[C@@H]1O[C@H](O[C@@H]2[C@H](COC[C@H](C)O)O[C@@H](OC[C@H](C)O)[C@H](OC[C@H](C)O)[C@@H]2OC[C@H](C)O)[C@@H](OC[C@H](C)O)[C@H](OC[C@H](C)O)[C@H]1OC[C@@H](C)O	806.937	-2.156	C36H70O19	2	55	19						
ZINC000256097227	ZINC000256097227	C[C@H](O)COC[C@@H]1O[C@@H](OC[C@H](C)O)[C@H](OC[C@H](C)O)[C@H](OC[C@H](C)O)[C@@H]1O[C@H]1O[C@@H](COC[C@@H](C)O)[C@H](OC[C@H](C)O)[C@@H](OC[C@H](C)O)[C@@H]1OC[C@H](C)O	806.937	-2.156	C36H70O19	2	55	19						
ZINC000256109530	ZINC000256109530	C[C@H]1O[C@@H](O[C@@H]2[C@H](O)C[C@@H](O[C@H]3CC[C@@]4(C)[C@@H](CC[C@H]5[C@H]4C[C@@H](O)[C@]4(C)[C@H](C6=CC(=O)OC6)CC[C@]54O)C3)O[C@@H]2C)C[C@@H](O)[C@H]1O	650.806	2.337	C35H54O11	7	46	11						
ZINC000256109534	ZINC000256109534	C[C@H]1O[C@@H](O[C@@H]2[C@H](O)C[C@@H](O[C@H]3CC[C@@]4(C)[C@@H](CC[C@H]5[C@H]4C[C@@H](O)[C@]4(C)[C@H](C6=CC(=O)OC6)CC[C@]54O)C3)O[C@@H]2C)C[C@H](O)[C@@H]1O	650.806	2.337	C35H54O11	7	46	11						
ZINC000256109538	ZINC000256109538	C[C@H]1O[C@@H](O[C@@H]2[C@H](O)C[C@@H](O[C@H]3CC[C@@]4(C)[C@@H](CC[C@H]5[C@H]4C[C@@H](O)[C@]4(C)[C@H](C6=CC(=O)OC6)CC[C@]54O)C3)O[C@@H]2C)C[C@@H](O)[C@@H]1O	650.806	2.337	C35H54O11	7	46	11						
ZINC000256109542	ZINC000256109542	C[C@H]1O[C@@H](O[C@@H]2[C@H](O)C[C@@H](O[C@H]3CC[C@@]4(C)[C@@H](CC[C@H]5[C@H]4C[C@@H](O)[C@]4(C)[C@H](C6=CC(=O)OC6)CC[C@]54O)C3)O[C@@H]2C)C[C@H](O)[C@H]1O	650.806	2.337	C35H54O11	7	46	11						
ZINC000256296829	ZINC000256296829	CC(=O)O[C@]1(C(C)=O)C[C@H](O)[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@H]5[C@]4(C)[C@H]3CC[C@@]21C	432.944	3.578	C24H29ClO5	5	30	6						
ZINC000256296835	ZINC000256296835	CC(=O)O[C@]1(C(C)=O)C[C@H](O)[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@H]5C[C@H]5[C@]4(C)[C@H]3CC[C@@]21C	432.944	3.578	C24H29ClO5	5	30	6						
ZINC000256310200	ZINC000256310200	C[C@]12CC[C@@H]3c4ccc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)cc4CC[C@H]3[C@H]1CC[C@@H]2O	448.512	1.175	C24H32O8	5	32	8	Reference	-1	4	8	139	3
ZINC000256315095	ZINC000256315095	C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]3CC[C@H](C(=O)CO)[C@@]34C[C@@H](O[C@@H]4O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)[C@H]12	536.574	-0.08	C27H36O11	6	38	11						
ZINC000256315101	ZINC000256315101	C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]3CC[C@H](C(=O)CO)[C@@]34C[C@@H](O[C@H]4O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)[C@H]12	536.574	-0.08	C27H36O11	6	38	11						
ZINC000256315106	ZINC000256315106	C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]2[C@H]2C[C@@]3([C@@H](C(=O)CO)CC[C@@H]13)[C@@H](O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)O2	536.574	-0.08	C27H36O11	6	38	11						
ZINC000256315111	ZINC000256315111	C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]2[C@H]2C[C@]3([C@H](O[C@@H]4O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)O2)[C@@H](C(=O)CO)CC[C@@H]13	536.574	-0.08	C27H36O11	6	38	11						
ZINC000256335049	ZINC000256335049	CN1CC[C@@]23c4c5ccc(OS(=O)(=O)O)c4O[C@H]2C(=O)CC[C@@H]3[C@H]1C5	365.407	1.106	C17H19NO6S	5	25	8						
ZINC000256335053	ZINC000256335053	CN1CC[C@@]23c4c5ccc(OS(=O)(=O)O)c4O[C@@H]2C(=O)CC[C@@H]3[C@H]1C5	365.407	1.106	C17H19NO6S	5	25	8						
ZINC000256421824	ZINC000256421824	CN1CC[C@@]23c4c5ccc(O)c4O[C@@H]2[C@@H](O)CC[C@@H]3[C@H]1C5	287.359	1.422	C17H21NO3	5	21	4						
ZINC000256421827	ZINC000256421827	CN1CC[C@@]23c4c5ccc(O)c4O[C@@H]2[C@H](O)CC[C@@H]3[C@H]1C5	287.359	1.422	C17H21NO3	5	21	4						
ZINC000256433946	ZINC000256433946	C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@H]3CC[C@@]21CC	327.468	4.144	C21H29NO2	4	24	3						
ZINC000256433948	ZINC000256433948	C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@@H]3CC[C@]21CC	327.468	4.144	C21H29NO2	4	24	3						
ZINC000256433952	ZINC000256433952	C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@H]3CC[C@]21CC	327.468	4.144	C21H29NO2	4	24	3						
ZINC000256433955	ZINC000256433955	C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@@H]3CC[C@@]21CC	327.468	4.144	C21H29NO2	4	24	3						
ZINC000256445970	ZINC000256445970	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@](O)([C@H](O)CO)C[C@@H]3O[C@@H]1C[C@H](N)[C@H](O)[C@@H](C)O1	545.541	-0.207	C27H31NO11	5	39	12						
ZINC000256445975	ZINC000256445975	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@](O)([C@H](O)CO)C[C@@H]3O[C@@H]1C[C@H](N)[C@@H](O)[C@@H](C)O1	545.541	-0.207	C27H31NO11	5	39	12						
ZINC000256445978	ZINC000256445978	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@](O)([C@H](O)CO)C[C@@H]3O[C@@H]1C[C@H](N)[C@H](O)[C@H](C)O1	545.541	-0.207	C27H31NO11	5	39	12						
ZINC000256445982	ZINC000256445982	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@](O)([C@H](O)CO)C[C@@H]3O[C@@H]1C[C@H](N)[C@@H](O)[C@H](C)O1	545.541	-0.207	C27H31NO11	5	39	12						
ZINC000256479159	ZINC000256479159	CCS[C@]1(SC)CC[C@@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@H](O)C[C@@]21C	410.62	5.17	C22H31FO2S2	4	27	5						
ZINC000256479162	ZINC000256479162	CCS[C@]1(SC)CC[C@@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C	410.62	5.17	C22H31FO2S2	4	27	5						
ZINC000256479166	ZINC000256479166	CCS[C@]1(SC)CC[C@@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@H](O)C[C@]21C	410.62	5.17	C22H31FO2S2	4	27	5						
ZINC000256630449	ZINC000256630449	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)COC(=O)Cc1cccc2ccccc12)C[C@@H]3O[C@@H]1C[C@H](N)[C@H](O)[C@@H](C)O1	711.72	2.948	C39H37NO12	7	52	13						
ZINC000256630457	ZINC000256630457	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)COC(=O)Cc1cccc2ccccc12)C[C@@H]3O[C@@H]1C[C@H](N)[C@H](O)[C@H](C)O1	711.72	2.948	C39H37NO12	7	52	13						
ZINC000256630463	ZINC000256630463	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)COC(=O)Cc1cccc2ccccc12)C[C@@H]3O[C@@H]1C[C@H](N)[C@@H](O)[C@H](C)O1	711.72	2.948	C39H37NO12	7	52	13						
ZINC000256640979	ZINC000256640979	C=CC[N@+]12CC[C@]34c5ccccc5N5C=C6[C@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C/CO)c7ccccc7N(C=C([C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69	666.91	5.476	C44H50N4O2+2	11	50	6						
ZINC000256641128	ZINC000256641128	C=CC[N@+]12CC[C@@]34c5ccccc5N5C=C6[C@H]7C[C@H]8[C@]9(CC[N@+]8(CC=C)C/C7=C/CO)c7ccccc7N(C=C([C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69	666.91	5.476	C44H50N4O2+2	11	50	6						
ZINC000256787842	ZINC000256787842	CN(C)C=Nc1c(I)cc(I)c(CCC(=O)O)c1I	597.96	3.739	C12H13I3N2O2	1	19	7						
ZINC000256965489	ZINC000256965489	C[C@]12CC[C@@H]3c4ccc(O)c(O)c4CC[C@@H]3[C@H]1CC[C@H]2O	288.387	3.315	C18H24O3	4	21	3	Reference	0	3	3	60	0
ZINC000257362202	ZINC000257362202	C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O	780.949	2.218	C41H64O14	8	55	14						
ZINC000257371267	ZINC000257371267	CO[C@@H]1C(=O)CC[C@]2(CO2)[C@]1(O)[C@]1(C)O[C@@H]1CC=C(C)C	296.363	1.378	C16H24O5	3	21	5						
ZINC000257372319	ZINC000257372319	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C	914.187	6.181	C51H79NO13	4	65	14						
ZINC000257384244	ZINC000257384244	COc1ccc2c3c1O[C@@H]1[C@H](O)C=C[C@@H]4[C@@H](C2)[N@@+](C)([O-])CC[C@]314	315.369	1.514	C18H21NO4	5	23	5	Reference	0	1	4	61	1
ZINC000257384245	ZINC000257384245	COc1ccc2c3c1O[C@@H]1[C@H](O)C=C[C@H]4[C@@H](C2)[N@+](C)([O-])CC[C@]314	315.369	1.514	C18H21NO4	5	23	5	Reference	0	1	4	61	1
ZINC000257384246	ZINC000257384246	COc1ccc2c3c1O[C@@H]1[C@H](O)C=C[C@H]4[C@@H](C2)[N@@+](C)([O-])CC[C@]314	315.369	1.514	C18H21NO4	5	23	5	Reference	0	1	4	61	1
ZINC000257384247	ZINC000257384247	COc1ccc2c3c1O[C@@H]1[C@H](O)C=C[C@@H]4[C@@H](C2)[N@+](C)([O-])CC[C@]314	315.369	1.514	C18H21NO4	5	23	5	Reference	0	1	4	61	1
ZINC000257420679	ZINC000257420679	CCN(CC)CC(=O)OCC(=O)[C@]1(O)CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@]4(C)[C@@H]3[C@H](O)C[C@]21C	475.626	2.674	C27H41NO6	4	34	7						
ZINC000257420680	ZINC000257420680	CCN(CC)CC(=O)OCC(=O)[C@]1(O)CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@]4(C)[C@@H]3[C@@H](O)C[C@@]21C	475.626	2.674	C27H41NO6	4	34	7						
ZINC000257420681	ZINC000257420681	CCN(CC)CC(=O)OCC(=O)[C@]1(O)CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@]4(C)[C@@H]3[C@H](O)C[C@@]21C	475.626	2.674	C27H41NO6	4	34	7						
ZINC000257420682	ZINC000257420682	CCN(CC)CC(=O)OCC(=O)[C@]1(O)CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@]4(C)[C@@H]3[C@@H](O)C[C@]21C	475.626	2.674	C27H41NO6	4	34	7						
ZINC000257423715	ZINC000257423715	CC(C)(CC#N)O[C@@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O	261.274	-1.505	C11H19NO6	1	18	7						
ZINC000257423716	ZINC000257423716	CC(C)(CC#N)O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O	261.274	-1.505	C11H19NO6	1	18	7						
ZINC000257459140	ZINC000257459140	C/C(=C\CC[C@@H](C)[C@@H]1C[C@@H](O)[C@]2(C)[C@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)[C@@H]3[C@@H](O)C[C@]12C)C(=O)O	490.725	5.421	C30H50O5	4	35	5						
ZINC000257459141	ZINC000257459141	C/C(=C\CC[C@@H](C)[C@@H]1C[C@H](O)[C@]2(C)[C@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)[C@@H]3[C@@H](O)C[C@]12C)C(=O)O	490.725	5.421	C30H50O5	4	35	5						
ZINC000257459142	ZINC000257459142	C/C(=C\CC[C@H](C)[C@@H]1C[C@@H](O)[C@]2(C)[C@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)[C@@H]3[C@@H](O)C[C@]12C)C(=O)O	490.725	5.421	C30H50O5	4	35	5						
ZINC000257459143	ZINC000257459143	C/C(=C\CC[C@H](C)[C@@H]1C[C@H](O)[C@]2(C)[C@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)[C@@H]3[C@@H](O)C[C@]12C)C(=O)O	490.725	5.421	C30H50O5	4	35	5						
ZINC000257526031	ZINC000257526031	C[C@]12CC(=O)[C@@H]3[C@H](CC[C@H]4C[C@@H](O[C@H]5O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]5O)CC[C@@]43C)[C@H]1CCC2=O	480.554	1.055	C25H36O9	5	34	9						
ZINC000257526032	ZINC000257526032	C[C@]12CC(=O)[C@@H]3[C@H](CC[C@H]4C[C@@H](O[C@H]5O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]5O)CC[C@]43C)[C@H]1CCC2=O	480.554	1.055	C25H36O9	5	34	9						
ZINC000257526033	ZINC000257526033	C[C@]12CC[C@H](O[C@H]3O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]3O)C[C@@H]1CC[C@H]1[C@H]2C(=O)C[C@@]2(C)C(=O)CC[C@H]12	480.554	1.055	C25H36O9	5	34	9						
ZINC000257526034	ZINC000257526034	C[C@@]12CC(=O)[C@@H]3[C@H](CC[C@H]4C[C@@H](O[C@H]5O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]5O)CC[C@]43C)[C@H]1CCC2=O	480.554	1.055	C25H36O9	5	34	9						
ZINC000261106252	ZINC000261106252	CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](Cc1ccccc1)N(C)C(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](CC(=O)O)NC(=O)CCC(=O)O)C(N)=O	841.985	-0.022	C40H55N7O11S	2	59	19						
ZINC000261106254	ZINC000261106254	CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](Cc1ccccc1)N(C)C(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)C(N)=O	841.985	-0.022	C40H55N7O11S	2	59	19						
ZINC000261106255	ZINC000261106255	CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](Cc1ccccc1)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](CC(=O)O)NC(=O)CCC(=O)O)C(N)=O	841.985	-0.022	C40H55N7O11S	2	59	19						
ZINC000261139420	ZINC000261139420	C=CC[N@+]12CC[C@@]34c5ccccc5N5C=C6[C@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C/CO)c7ccccc7N(C=C([C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69	666.91	5.476	C44H50N4O2+2	11	50	6	Reference	2	2	4	46	6
ZINC000261139424	ZINC000261139424	C=CC[N@+]12CC[C@@]34c5ccccc5N5C=C6[C@H]7C[C@H]8[C@@]9(CC[N@+]8(CC=C)C/C7=C/CO)c7ccccc7N(C=C([C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69	666.91	5.476	C44H50N4O2+2	11	50	6	Reference	2	2	4	46	6
ZINC000261494551	ZINC000261494551	C[C@]12CC[C@H](OS(=O)(=O)O)CC1=CC[C@H]1[C@H]2CC[C@@]2(C)C(c3ccc[n+]([O-])c3)=CC[C@H]12	445.581	4.464	C24H31NO5S	5	31	7						
ZINC000261494552	ZINC000261494552	C[C@]12CC[C@@H]3[C@H](CC=C4C[C@@H](OS(=O)(=O)O)CC[C@@]43C)[C@H]1CC=C2c1ccc[n+]([O-])c1	445.581	4.464	C24H31NO5S	5	31	7						
ZINC000261494553	ZINC000261494553	C[C@]12CC[C@@H](OS(=O)(=O)O)CC1=CC[C@H]1[C@H]2CC[C@@]2(C)C(c3ccc[n+]([O-])c3)=CC[C@H]12	445.581	4.464	C24H31NO5S	5	31	7						
ZINC000261494554	ZINC000261494554	C[C@]12CC[C@@H]3[C@H](CC=C4C[C@H](OS(=O)(=O)O)CC[C@@]43C)[C@H]1CC=C2c1ccc[n+]([O-])c1	445.581	4.464	C24H31NO5S	5	31	7						
ZINC000261494555	ZINC000261494555	C[C@@H](C(=O)O)c1ccc(C(=O)C2=CC=C[S@]2=O)cc1	276.313	2.217	C14H12O4S	2	19	5						
ZINC000261494556	ZINC000261494556	C[C@@H](C(=O)O)c1ccc(C(=O)C2=CC=C[S@@]2=O)cc1	276.313	2.217	C14H12O4S	2	19	5						
ZINC000261494557	ZINC000261494557	C[C@H](C(=O)O)c1ccc(C(=O)C2=CC=C[S@@]2=O)cc1	276.313	2.217	C14H12O4S	2	19	5						
ZINC000261494558	ZINC000261494558	C[C@H](C(=O)O)c1ccc(C(=O)C2=CC=C[S@]2=O)cc1	276.313	2.217	C14H12O4S	2	19	5						
ZINC000261494559	ZINC000261494559	C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]21C	296.41	3.613	C20H24O2	4	22	2	Reference	0	2	2	40	0
ZINC000261494560	ZINC000261494560	CC(=O)[C@@]1(O)CC[C@@H]2[C@H]3C[C@H](C)C4=CC(=O)[C@@H](O)C[C@]4(C)[C@@H]3CC[C@@]21C	360.494	3.055	C22H32O4	4	26	4						
ZINC000261494561	ZINC000261494561	CC(=O)[C@@]1(O)CC[C@@H]2[C@@H]3C[C@H](C)C4=CC(=O)[C@@H](O)C[C@]4(C)[C@@H]3CC[C@@]21C	360.494	3.055	C22H32O4	4	26	4						
ZINC000261494562	ZINC000261494562	COc1cc2c(CCNC(C)=O)c[nH]c2cc1O[C@H]1O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]1O	424.406	-0.874	C19H24N2O9	3	30	11						
ZINC000261494563	ZINC000261494563	COc1cc2c(CCNC(C)=O)c[nH]c2cc1O[C@@H]1O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]1O	424.406	-0.874	C19H24N2O9	3	30	11						
ZINC000261494564	ZINC000261494564	COc1c(C)c2c(c(O[C@@H]3O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]3O)c1C/C=C(/C)CCC(=O)O)C(=O)OC2	496.465	0.299	C23H28O12	3	35	12						
ZINC000261494565	ZINC000261494565	COc1c(C)c2c(c(O[C@H]3O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]3O)c1C/C=C(/C)CCC(=O)O)C(=O)OC2	496.465	0.299	C23H28O12	3	35	12						
